City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,7.38,98,100,7.34,RU,1727513596
1,port-aux-francais,-49.35,70.2167,2.19,64,45,12.36,TF,1727513597
2,hithadhoo,-0.6,73.0833,28.02,79,65,4.83,MV,1727513599
3,nova sintra,14.8667,-24.7167,26.78,81,100,3.82,CV,1727513600
4,panaba,21.2833,-88.2667,23.93,95,100,1.37,MX,1727513601
5,mugia,43.1041,-9.2179,14.48,75,92,4.42,ES,1727513602
6,blackmans bay,-43.0167,147.3167,15.07,76,81,0.45,AU,1727513603
7,puerto natales,-51.7236,-72.4875,-1.09,86,99,2.52,CL,1727513604
8,albany,42.6001,-73.9662,15.3,77,100,1.28,US,1727513319
9,waitangi,-43.9535,-176.5597,7.68,83,93,6.71,NZ,1727513606
10,adamstown,-25.066,-130.1015,20.69,85,89,2.67,PN,1727513607
11,port mathurin,-19.6833,63.4167,22.48,79,32,8.25,MU,1727513608
12,puerto ayora,-0.7393,-90.3518,20.31,96,100,2.68,EC,1727513609
13,daru,-9.0763,143.2092,25.98,86,55,5.83,PG,1727513610
14,yesilova,37.5081,29.7547,25.57,25,0,1.47,TR,1727513611
15,longyearbyen,78.2186,15.6401,-0.09,69,75,1.54,SJ,1727513613
16,grytviken,-54.2811,-36.5092,2.22,89,100,6.25,GS,1727513614
17,hailin,44.5833,129.4167,15.18,67,7,0.95,CN,1727513616
18,tralee,52.2704,-9.7026,9.14,100,0,1.03,IE,1727513617
19,talnakh,69.4865,88.3972,1.33,99,100,3.74,RU,1727513618
20,port lincoln,-34.7333,135.8667,16.08,86,94,9.44,AU,1727513619
21,whangarei,-35.7317,174.3239,7.12,95,0,1.45,NZ,1727513356
22,buala,-8.145,159.5921,26.48,86,71,2.82,SB,1727513621
23,muisne,0.6,-80.0333,23.0,89,100,4.87,EC,1727513622
24,embi,48.8264,58.1442,21.72,20,0,2.98,KZ,1727513623
25,jinan,36.6683,116.9972,29.31,36,22,3.19,CN,1727513624
26,aykhal,66.0,111.5,0.25,76,100,10.16,RU,1727513625
27,ubinskoye,55.3068,79.6802,10.02,45,100,3.74,RU,1727513626
28,west island,-12.1568,96.8225,27.99,65,43,7.2,CC,1727513627
29,la sarre,48.8002,-79.1996,10.56,94,0,2.43,CA,1727513628
30,ribeira grande,38.5167,-28.7,24.22,88,75,5.14,PT,1727513631
31,yuzhno-kurilsk,44.0306,145.8556,15.32,95,100,3.4,RU,1727513632
32,luderitz,-26.6481,15.1594,17.57,68,1,5.35,NA,1727513633
33,makoua,0.0069,15.6333,27.4,69,100,2.13,CG,1727513634
34,bilaspur,22.0833,82.15,30.05,73,98,4.37,IN,1727513635
35,pangody,65.85,74.4859,12.87,72,96,5.74,RU,1727513636
36,ushuaia,-54.8,-68.3,-2.19,86,40,12.86,AR,1727513528
37,hasaki,35.7333,140.8333,23.55,75,100,6.77,JP,1727513638
38,kayangel,8.0823,134.7173,29.19,74,34,3.7,PW,1727513639
39,la ronge,55.1001,-105.2842,7.14,81,20,2.06,CA,1727513640
40,taltal,-25.4,-70.4833,12.3,84,29,0.15,CL,1727513641
41,bilibino,68.0546,166.4372,-2.63,56,100,1.45,RU,1727513642
42,udachny,66.4167,112.4,0.77,83,100,8.49,RU,1727513643
43,ilulissat,69.2167,-51.1,3.01,100,100,2.06,GL,1727513644
44,turiacu,-1.6633,-45.3717,23.78,91,97,2.55,BR,1727513645
45,kapuskasing,49.4169,-82.4331,12.05,100,0,1.03,CA,1727513646
46,hermanus,-34.4187,19.2345,17.67,70,100,10.06,ZA,1727513389
47,wailua homesteads,22.0669,-159.378,25.44,85,100,7.72,US,1727513649
48,vikhorevka,56.1201,101.1636,4.38,66,98,3.6,RU,1727513650
49,east london,-33.0153,27.9116,18.52,82,0,2.06,ZA,1727513651
50,lompoc,34.6391,-120.4579,13.41,97,100,1.54,US,1727513652
51,margaret river,-33.95,115.0667,13.46,58,68,5.47,AU,1727513653
52,la gi,10.6667,107.7833,28.36,76,100,2.91,VN,1727513654
53,abong mbang,3.9833,13.1833,19.77,100,100,1.24,CM,1727513655
54,irtyshsk,53.3333,75.4572,11.36,57,100,3.42,KZ,1727513656
55,guerrero negro,27.9769,-114.0611,18.25,90,0,7.34,MX,1727513657
56,crane,31.3974,-102.3501,22.52,46,0,2.98,US,1727513658
57,mount gambier,-37.8333,140.7667,21.46,28,100,6.53,AU,1727513659
58,papao,-17.75,-149.55,25.82,82,12,6.71,PF,1727513660
59,howard springs,-12.497,131.047,30.95,67,0,4.13,AU,1727513661
60,new norfolk,-42.7826,147.0587,12.73,74,79,1.11,AU,1727513662
61,port loko,8.7667,-12.7833,23.56,98,100,0.72,SL,1727513663
62,pola de siero,43.3923,-5.6634,13.61,92,70,0.41,ES,1727513664
63,tartu,58.3806,26.7251,13.14,83,100,4.63,EE,1727513665
64,tiksi,71.6872,128.8694,-3.35,92,32,2.81,RU,1727513667
65,bethel,41.3712,-73.414,17.79,89,100,1.84,US,1727513668
66,acarau,-2.8856,-40.12,25.61,78,94,6.52,BR,1727513669
